feature,bucket,regime,side,horizon,label,sample_count,cluster_count,raw_expectancy_bps,expectancy_after_5_bps,expectancy_after_7_5_bps,expectancy_after_10_bps,pf_after_5_bps,pf_after_7_5_bps,pf_after_10_bps,win_rate_after_5_bps,win_rate_after_7_5_bps,win_rate_after_10_bps,gross_profit_after_5_bps,gross_loss_after_5_bps,gross_profit_after_7_5_bps,gross_loss_after_7_5_bps,gross_profit_after_10_bps,gross_loss_after_10_bps,win_count_after_5_bps,loss_count_after_5_bps,win_count_after_7_5_bps,loss_count_after_7_5_bps,win_count_after_10_bps,loss_count_after_10_bps,win_rate,profit_factor,average_forward_return,median_forward_return,worst_month_expectancy,worst_symbol_expectancy,leave_one_symbol_out_passed,leave_one_month_out_passed,leave_one_quarter_out_passed,top_symbol_contribution_pct,top_month_contribution_pct,top_quarter_contribution_pct
SessionUTC,asia,compressed_up,short,30m,DISCOVERY_REJECTED,13062,9148,-3.296391,-8.296391,-10.796391,-13.296391,0.666975,0.590353,0.522714,43.576788,41.134589,38.646455,217036.051246,325403.511820,203231.024416,344253.484990,190207.975206,363885.435780,5692,7370,5373,7689,5048,8014,43.576788,0.666975,-3.296391,-1.200000,-16.061986,-10.954534,false,false,false,0.000000,100.000000,0.000000
TakerBuyRatio,taker_sell_heavy,compressed_down,short,120m,DISCOVERY_REJECTED,7551,7017,-3.352465,-8.352465,-10.852465,-13.352465,0.850860,0.810785,0.772651,46.470666,45.397961,44.484174,359819.066439,422888.528386,351142.394282,433089.356229,342654.437376,443478.899323,3509,4042,3428,4123,3359,4192,46.470666,0.850860,-3.352465,-3.300000,-37.688970,-15.017042,false,false,false,100.000000,45.884316,100.000000
TakerBuyRatio,taker_buy_heavy,trend_up,short,240m,DISCOVERY_REJECTED,22883,18806,-3.356758,-8.356758,-10.856758,-13.356758,0.875974,0.841885,0.809108,49.062623,48.201722,47.305860,1350613.527355,1541841.214548,1322797.699186,1571232.886380,1295488.260555,1601130.947749,11227,11656,11030,11853,10825,12058,49.062623,0.875974,-3.356758,2.400000,-37.278875,-15.375101,false,false,false,0.000000,33.051258,100.000000
RealizedVol60,realized_vol_60_low,compressed_down,long,120m,DISCOVERY_REJECTED,28359,21606,-3.364702,-8.364702,-10.864702,-13.364702,0.805697,0.755134,0.707723,47.900138,46.503755,45.029797,983631.212075,1220845.795139,950176.536819,1258288.619883,917737.976348,1296747.559412,13584,14775,13188,15171,12770,15589,47.900138,0.805697,-3.364702,1.200000,-24.413711,-12.835370,false,false,false,0.000000,53.240566,0.000000
SessionUTC,late_us,trend_down,short,30m,DISCOVERY_REJECTED,18635,9488,-3.382209,-8.382209,-10.882209,-13.382209,0.695864,0.626042,0.564066,39.522404,37.257848,35.063053,357392.358318,513594.824536,339490.734355,542280.700573,322676.025230,572053.491448,7365,11270,6943,11692,6534,12101,39.522404,0.695864,-3.382209,-5.300000,-19.563876,-9.982909,false,false,false,0.000000,100.000000,0.000000
ETHContext60,eth_down_strong,trend_down,short,60m,DISCOVERY_REJECTED,28667,16397,-3.382655,-8.382655,-10.882655,-13.382655,0.830289,0.785954,0.744213,42.616946,41.462309,40.380926,1175662.246397,1415967.830935,1145534.608795,1457507.693333,1116206.248964,1499846.833502,12217,16450,11886,16781,11576,17091,42.616946,0.830289,-3.382655,-10.600000,-32.565372,-12.052500,false,false,false,0.000000,33.072796,80.764152
ATRPct14,atr_pct_14_mid,range,short,120m,DISCOVERY_REJECTED,68277,38332,-3.397927,-8.397927,-10.897927,-13.397927,0.871133,0.836124,0.802552,47.071488,46.217614,45.423788,3876036.589287,4449421.859163,3796426.174405,4540503.944281,3718188.940785,4632959.210661,32139,36138,31556,36721,31014,37263,47.071488,0.871133,-3.397927,-4.600000,-30.393228,-13.031313,false,false,false,0.000000,40.161685,0.000000
BBWidthPctRank60,bb_width_low,range,short,240m,DISCOVERY_REJECTED,52222,39805,-3.404282,-8.404282,-10.904282,-13.404282,0.852784,0.813387,0.775847,46.756156,45.768067,44.825935,2542375.678391,2981264.115325,2482020.322182,3051463.759116,2422867.513478,3122865.950412,24417,27805,23901,28321,23409,28813,46.756156,0.852784,-3.404282,-2.800000,-43.755757,-11.609803,false,false,false,0.000000,48.749273,93.296095
TakerBuyRatio,taker_balanced,compressed_up,short,60m,DISCOVERY_REJECTED,6687,6271,-3.440122,-8.440122,-10.940122,-13.440122,0.780820,0.725438,0.673951,47.255870,45.715568,44.220129,201062.340481,257501.436974,193291.434249,266448.030742,185772.185966,275646.282459,3160,3527,3057,3630,2957,3730,47.255870,0.780820,-3.440122,0.700000,-23.279003,-20.094589,false,false,false,100.000000,45.759404,0.000000
BBWidthPctRank60,bb_width_high,trend_down,short,240m,DISCOVERY_REJECTED,48250,34344,-3.452668,-8.452668,-10.952668,-13.452668,0.880203,0.847738,0.816542,45.486010,44.588601,43.765803,2996603.926784,3404445.139450,2942293.453395,3470759.666061,2889000.200735,3538091.413401,21947,26303,21514,26736,21117,27133,45.486010,0.880203,-3.452668,-8.400000,-44.581854,-12.407685,false,false,false,0.000000,46.134721,59.986607
SessionUTC,late_us,trend_down,short,60m,DISCOVERY_REJECTED,18635,9488,-3.469830,-8.469830,-10.969830,-13.469830,0.761489,0.703383,0.650138,41.996244,40.246847,38.454521,503917.331827,661752.616431,484757.724850,689180.509455,466443.883274,717454.167878,7826,10809,7500,11135,7166,11469,41.996244,0.761489,-3.469830,-6.200000,-28.268066,-10.545891,false,false,false,0.000000,56.712719,100.000000
TakerBuyRatio,taker_buy_heavy,compressed_up,short,240m,DISCOVERY_REJECTED,8839,8142,-3.483762,-8.483762,-10.983762,-13.483762,0.881324,0.849130,0.818134,47.686390,46.883132,46.091187,556881.348895,631869.321453,546418.702227,643504.174785,536149.335331,655332.307889,4215,4624,4144,4695,4074,4765,47.686390,0.881324,-3.483762,-1.500000,-46.401292,-24.644759,false,false,false,60.827423,33.294770,0.000000
Return15,return15_up_strong,compressed_up,short,120m,DISCOVERY_REJECTED,1271,1178,-3.517469,-8.517469,-11.017469,-13.517469,0.903243,0.876712,0.850976,46.970889,46.341463,46.026751,101059.693217,111885.395965,99577.898011,113581.100758,98107.469054,115288.171802,597,674,589,682,585,686,46.970889,0.903243,-3.517469,-8.200000,-105.864782,-52.973351,false,false,false,72.166829,42.575156,97.589985
TakerBuyRatio,taker_buy_heavy_strong,compressed_up,short,60m,DISCOVERY_REJECTED,11361,10313,-3.526791,-8.526791,-11.026791,-13.526791,0.734126,0.670501,0.612485,45.207288,43.262037,41.387202,267484.065364,364356.941074,254924.027345,380199.403055,242894.676896,396572.552606,5136,6225,4915,6446,4702,6659,45.207288,0.734126,-3.526791,-0.700000,-23.828562,-10.301267,false,false,false,0.000000,52.623408,0.000000
TrendSlope20,slope_down,trend_down,short,120m,DISCOVERY_REJECTED,19465,12644,-3.565014,-8.565014,-11.065014,-13.565014,0.843661,0.803025,0.764463,44.901105,43.878757,42.733111,899669.909971,1066387.902974,878057.917197,1093438.410200,856983.111650,1121026.104653,8740,10725,8541,10924,8318,11147,44.901105,0.843661,-3.565014,-5.700000,-44.645226,-25.357545,false,false,false,82.533618,41.977191,100.000000
CloseRelativeEMA20,below_ema20_strong,trend_down,short,60m,DISCOVERY_REJECTED,13207,9671,-3.567784,-8.567784,-11.067784,-13.567784,0.864499,0.828845,0.794801,42.992353,42.204891,41.372000,721930.664778,835085.382240,707860.946070,854033.163533,694059.571381,873249.288844,5678,7529,5574,7633,5464,7743,42.992353,0.864499,-3.567784,-15.100000,-37.333304,-20.018302,false,false,false,0.000000,44.116393,100.000000
TrendSlope20,slope_up,trend_up,short,240m,DISCOVERY_REJECTED,18838,12454,-3.583736,-8.583736,-11.083736,-13.583736,0.881688,0.849846,0.819129,49.851364,48.922391,48.115511,1205031.050846,1366731.474570,1181746.175167,1390541.598891,1158879.937920,1414770.361644,9391,9447,9216,9622,9064,9774,49.851364,0.881688,-3.583736,4.400000,-56.107718,-11.354465,false,false,false,100.000000,39.393566,60.391376
SessionUTC,late_us,trend_down,short,120m,DISCOVERY_REJECTED,18635,9488,-3.590115,-8.590115,-11.090115,-13.590115,0.822951,0.778024,0.735772,42.849477,41.738664,40.370271,744063.365640,904140.161994,724356.361442,931020.657796,705208.911713,958460.708068,7985,10650,7778,10857,7523,11112,42.849477,0.822951,-3.590115,-8.900000,-44.548971,-14.310087,false,false,false,100.000000,36.740366,68.747055
Return15,return15_up,compressed_down,long,240m,DISCOVERY_REJECTED,8811,8194,-3.623030,-8.623030,-11.123030,-13.623030,0.887711,0.857568,0.828452,48.416752,47.633640,46.884576,600647.853438,676625.370421,590076.416377,688081.433360,579670.628808,699703.145791,4266,4545,4197,4614,4131,4680,48.416752,0.887711,-3.623030,0.000000,-48.416351,-13.406677,false,false,false,0.000000,37.387782,87.459337
TrendSlope20,slope_down,compressed_down,long,120m,DISCOVERY_REJECTED,3761,3427,-3.656766,-8.656766,-11.156766,-13.656766,0.847617,0.808034,0.770309,48.417974,46.955597,46.024993,181101.342336,213659.440709,176622.675963,218583.274335,172255.036093,223618.134465,1821,1940,1766,1995,1731,2030,48.417974,0.847617,-3.656766,1.400000,-62.702757,-88.367081,false,false,false,34.553086,34.223502,85.634749
